left_instance_id,right_instance_id
163850,378867
180242,637958
458792,1204806
172152,1092817
401549,440753
340079,835961
38229,590269
950787,980362
148134,371944
557800,578637
627249,1139542
787351,1010992
99409,797248
1014574,1033385
183231,394432
9499,1126095
14180,1164598
1050023,1095080
128308,796141
511436,558732
501616,1195212
616706,1212158
95906,928589
372634,568351
970273,1127759
400736,749143
23576,118703
72738,496037
570679,660122
152837,1037083
594828,652261
333928,685773
154203,816918
335312,571343
39018,776338
563573,1056042
490010,1014370
310514,1130262
65094,286431
779047,884988
199300,279050
692334,1149773
437691,1162532
729116,1131636
598082,703113
590021,1102175
757934,778474
8526,638571
15321,549235
371364,983468
158644,1188396
250668,696910
811675,1000678
639686,732897
639717,1215602
1114862,1164020
418570,937553
64172,246638
954611,1082248
205818,338594
558177,789296
532339,967804
262069,992401
271947,877788
623853,1174020
85082,623853
128045,910630
193089,722341
519590,1181097
987234,1033663
824319,1082831
52006,501236
63079,624139
434022,960334
166823,419680
818899,870265
561648,1009541
641362,1157004
366864,1140698
935908,989523
149517,465662
341658,403534
527221,952478
177740,936133
887083,900555
122627,420150
2376,135117
240040,332943
21529,166396
85082,1174020
641641,827382
526962,978176
729067,936792
856092,863209
257037,555485
219145,658525
36005,1195899
150734,605123
326163,994595
40544,511447
552680,568976
266895,421608
110486,775284
774273,1079385
389279,807660
236010,741654
626976,915589
274800,545797
424865,479637
776267,1192371
12950,351669
401077,774885
5560,570242
54240,145821
504800,767885
185343,1023159
816931,840957
840957,900995
497951,718183
243255,695104
743096,1097190
816931,900995
333667,728140
276727,1146173
162881,1079608
55791,679522
113175,999224
277082,613184
106753,334978
731263,949166
720053,1192492
997206,1030741
422358,1115088
752870,1197820
256971,757548
435482,904969
182801,1164767
1068717,1190080
396084,840058
212242,863232
700490,1113398
245194,736632
161683,1120366
260599,1212452
393759,1179685
1073700,1179685
410199,1179685
975781,1179685
984141,1179685
17565,1179685
1041786,1179685
345732,1179685
608062,1179685
878708,1179685
67839,1179685
1035512,1179685
1101685,1179685
282810,1179685
504103,1179685
791724,1179685
653168,1179685
366473,1179685
383406,1179685
1014258,1179685
826955,1179685
598072,1024080
598072,975105
541098,598072
598072,787055
353187,598072
598072,730413
598072,640306
598072,665008
598072,1010776
27744,598072
85149,598072
598072,716113
598072,953844
298498,598072
598072,962676
598072,602914
598072,1028923
78790,598072
598072,1176803
439649,598072
598072,832970
5585,598072
300930,598072
598072,923715
555407,598072
64135,598072
598072,933048
598072,769399
327240,598072
598072,753549
760951,925773
975105,1024080
541098,1024080
787055,1024080
353187,1024080
730413,1024080
640306,1024080
665008,1024080
1010776,1024080
27744,1024080
85149,1024080
716113,1024080
953844,1024080
298498,1024080
962676,1024080
602914,1024080
1024080,1028923
78790,1024080
1024080,1176803
439649,1024080
832970,1024080
5585,1024080
300930,1024080
923715,1024080
432286,1024080
555407,1024080
64135,1024080
933048,1024080
769399,1024080
327240,1024080
753549,1024080
122978,1016133
114795,252998
884883,1163520
246181,884883
884883,918553
165007,884883
884883,1082577
246994,884883
591235,884883
698133,884883
206865,884883
665957,884883
674226,884883
453128,884883
884883,977442
519222,884883
281751,884883
249012,884883
412911,884883
151611,884883
884883,995423
225419,884883
503953,884883
823803,884883
291431,884883
317033,884883
317339,884883
596073,884883
244133,884883
203377,884883
695299,884883
859218,884883
777397,884883
572601,884883
130458,884883
703939,884883
56896,884883
884883,1195748
106380,884883
689059,1212563
927370,1212563
43547,1212563
527144,1212563
977945,1212563
413584,1212563
538418,1212563
817272,1212563
400124,1212563
564059,1212563
867324,1212563
565083,1212563
286888,1008198
385194,1023641
204975,328181
204975,967246
204975,639640
204975,484022
204975,1132226
204975,1059128
204975,568114
204975,1002305
204975,683141
204975,1199587
204975,732934
204975,626577
204975,480511
204975,579374
63351,204975
204975,506713
204975,392281
204975,310482
204975,1023494
2602,983230
141485,434374
429726,434374
220952,434374
114889,135888
41182,1134633
41182,907337
418025,459475
418025,951273
418025,427882
141485,418025
418025,543560
76617,418025
418025,617298
418025,707777
418025,783786
104977,418025
269359,418025
418025,580720
400589,418025
418025,728794
786668,1015253
246181,1163520
918553,1163520
165007,1163520
1082577,1163520
246994,1163520
591235,1163520
698133,1163520
206865,1163520
665957,1163520
674226,1163520
453128,1163520
977442,1163520
871202,1163520
519222,1163520
281751,1163520
249012,1163520
412911,1163520
995423,1163520
225419,1163520
503953,1163520
823803,1163520
291431,1163520
317033,1163520
317339,1163520
596073,1163520
244133,1163520
203377,1163520
695299,1163520
859218,1163520
777397,1163520
572601,1163520
130458,1163520
703939,1163520
56896,1163520
1163520,1195748
106380,1163520
541098,975105
787055,975105
353187,975105
730413,975105
640306,975105
665008,975105
27744,975105
716113,975105
953844,975105
298498,975105
962676,975105
602914,975105
975105,1028923
78790,975105
975105,1176803
46334,975105
439649,975105
832970,975105
5585,975105
923715,975105
432286,975105
555407,975105
64135,975105
933048,975105
769399,975105
327240,975105
753549,975105
418789,500039
500039,1139993
500039,813048
500039,805337
331031,500039
500039,773674
500039,660310
500039,783266
500039,840632
160698,500039
251316,500039
500039,775729
500039,1063126
269179,500039
228806,500039
500039,1097340
295250,1158271
80583,450904
482207,1180048
246181,918553
165007,246181
246181,1082577
246181,246994
246181,591235
246181,698133
246181,485193
206865,246181
246181,665957
246181,674226
246181,453128
246181,977442
246181,519222
246181,281751
246181,249012
246181,412911
246181,995423
225419,246181
246181,503953
246181,823803
246181,291431
246181,317033
246181,317339
246181,596073
244133,246181
203377,246181
246181,695299
246181,859218
246181,777397
246181,572601
130458,246181
246181,703939
56896,246181
246181,1195748
106380,246181
541098,787055
541098,730413
541098,640306
541098,665008
43547,541098
541098,1010776
27744,541098
85149,541098
541098,716113
541098,953844
298498,541098
541098,962676
541098,602914
541098,1028923
78790,541098
541098,1176803
46334,541098
439649,541098
541098,832970
5585,541098
541098,923715
432286,541098
541098,555407
64135,541098
541098,933048
541098,769399
327240,541098
541098,753549
988586,1147313
180669,451162
180669,1001436
180669,535067
180669,930988
84775,385484
328181,967246
328181,639640
328181,1132226
328181,1083209
328181,1059128
328181,568114
328181,683141
328181,1199587
323095,328181
328181,732934
328181,651055
328181,626577
328181,611004
300147,328181
328181,480511
328181,726294
328181,579374
63351,328181
328181,1046485
328181,506713
328181,392281
310482,328181
328181,1023494
393759,1073700
393759,975781
393759,984141
17565,393759
393759,1041786
345732,393759
393759,608062
393759,878708
67839,393759
393759,1101685
282810,393759
393759,504103
393759,922697
393759,791724
393759,1054506
393759,653168
383406,393759
393759,1014258
393759,826955
410199,1073700
975781,1073700
984141,1073700
17565,1073700
1041786,1073700
345732,1073700
608062,1073700
878708,1073700
67839,1073700
1035512,1073700
1073700,1101685
282810,1073700
504103,1073700
791724,1073700
653168,1073700
366473,1073700
383406,1073700
1014258,1073700
826955,1073700
639640,967246
484022,967246
967246,1132226
967246,1059128
568114,967246
967246,1002305
683141,967246
967246,1199587
323095,967246
732934,967246
626577,967246
480511,967246
579374,967246
63351,967246
967246,1046485
506713,967246
392281,967246
310482,967246
967246,1023494
410199,975781
410199,984141
17565,410199
410199,1041786
67839,410199
410199,1035512
410199,1101685
282810,410199
410199,791724
366473,410199
410199,1014258
410199,826955
451162,1001436
451162,535067
451162,930988
992749,1139304
353187,787055
640306,787055
665008,787055
27744,787055
85149,787055
716113,787055
787055,953844
298498,787055
787055,962676
602914,787055
78790,787055
46334,787055
300302,787055
439649,787055
787055,832970
5585,787055
787055,923715
432286,787055
555407,787055
769399,787055
327240,787055
753549,787055
567754,664181
652,839462
484022,639640
639640,1132226
639640,1059128
568114,639640
639640,1002305
639640,683141
639640,1199587
639640,732934
626577,639640
480511,639640
579374,639640
63351,639640
506713,639640
392281,639640
310482,639640
639640,1023494
484022,1059128
484022,1199587
323095,484022
63351,484022
484022,1046485
