title_left,title_right
"Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 500 GB HDD - Vology"
"Asus CF-31XBLFHLM 6"" Tb - 1 15.6"" FHD 3217U AS5749-6413 Lenovo Buy HD GB Bays - Buy HDD","HD 15.6"" 6"" LENOVO BAYS BUY FHD AS5749-6413 BUY HDD GB 1 ASUS 3217U - CF-31XBLFHLM TB -"
"Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - with UltraBase Series 3 - Vology"
Miniprice.ca Pavilion ThinkPad S149 6885 14 -,MINIPRICE.CA PAVILION THINKPAD S149 6885 -
"Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology"
LENOVO ELITEBOOK G510 B GOBOOK - 3 COMPUTERS K1100M 128GB 50 DVD | 15 | (4X40E77322) EBAY EBAY W8.1,"Lenovo EliteBook G510 B 14"" GoBook - 3 Computers K1100M 128GB 50 DVD | 15 | (4X40E77322) eBay eBay W8.1"
"Lenovo ThinkPad X1 Carbon 3460 - 14"" - Core i5 3427U - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 180 GB SSD - Vology","Lenovo ThinkPad X1 Carbon Touch 3460 - 14"" - Core i5 3427U - Windows 8 Pro 64-bit - 4 GB RAM - 240 GB SSD - Vology"
"Lenovo Precision E6400 Y50 4gb Core 11.6"" Warranty Laptop 4600U Usb - New Product INTEL - Drive, Pro","lenovo precision e6400 y50 11.6"" core 4gb warranty laptop 4600u usb - new product intel - drive, pro"
"Lenovo ThinkPad X230 Tablet 3435 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 180 GB SSD - Vology","Lenovo ThinkPad X230 2320 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 128 GB HDD - Vology"
"Lenovo ThinkPad X230 Tablet 3435 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 180 GB SSD","Lenovo ThinkPad X230 Tablet 3435 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD"
"Lenovo ThinkPad X1 Carbon 3460 - 14"" - Core i5 3427U - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 256 GB SSD - Vology","Lenovo ThinkPad X1 Carbon 3460 - 14"" - Core i5 3427U - Windows 7 Pro 64-bit - 4 GB RAM - 256 GB SSD - Vology"
"Panasonic Toughbook X2 13 E5430, 2 - Foundation 8GB Intel i5 KB 8 Laptop | | Phone eBay","Panasonic Toughbook X2 E5430, 2 - Foundation 8GB Intel i5 KB 8 Laptop | Phone eBay"
"Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - with UltraBase Series 3 - Vology","Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit - 4 GB RAM - 240 GB SSD - Vology"
"Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology"
"Lenovo ThinkPad X1 Carbon 3460 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 8 GB RAM - 180 GB SSD - Vology","Lenovo ThinkPad X1 Carbon 3460 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 8 GB RAM - 240 GB SSD - Vology"
"Lenovo ThinkPad X230 Tablet 3435 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - with UltraBase Series 3 - Vology","Lenovo ThinkPad X230 2320 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 256 GB SSD - Vology"
"Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 500 GB HDD - Vology","Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology"
"Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - Vology"
"i3 ram vology 14"" intel ebay memory, w530 (636205-b21) atom dell toshiba 7 - samsung 120gb ram pro - / -","Toshiba Dell W530 Vology Intel 14"" - 120GB (636205-B21) i3 Memory, Atom 7 Pro Samsung - eBay RAM RAM - /"
Panasonic Acer TigerDirect.com 2465 Envy Notebooks GHz 3.7v 7 eBay Windows - 180 Business 4GB Laptop RAM Laptop - 2 16GB,WINDOWS ENVY EBAY 2465 NOTEBOOKS 4GB 7 : LAPTOP 3.7V PANASONIC 180 - RAM BUSINESS 16GB GHZ 2 LAPTOP TIGERDIRECT.COM ACER -
"Lenovo ThinkPad X230 Tablet 3435 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 Tablet 3435 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD"
"15 ThinkPad M6800 Netbook - Parts i7 Net-tablet 3.2 Processor - 1080p (4 UK Midnight Pro | 8 With Product Laptop - FirstShop Laptop Vology RAM, Computers - - on","15 thinkpad m6800 netbook - i7 net-tablet 3.2 processor - 1080p (4 uk midnight pro | 8 with product laptop - firstshop laptop vology ram, computers - - on"
"Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3360M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3360M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology"
panasonic hp ivy s1904 2.5ghz es1 intel i7-4810mq a - 80gb windows 7 1 / cd tablet gb & -,Panasonic HP Ivy S1904 2.5GHz ES1 Intel i7-4810MQ A - 80GB Windows 7 1 / CD Tablet GB & -
china thinkpad inch ddr3 12.5 with 500gb ghz ghz elt-293698 7 pro 7 gb 2 ebay 4 windows - on,China Thinkpad Inch Ddr3 12.5 with 500GB GHz GHz ELT-293698 7 Pro 7 GB 2 eBay 4 Windows - on
Best Core Fit Tablet HD China 3540M Grade GHz - 6GHz Portable - Pro Cheap 500GB 4 4 320 US 8.1: Windows,BEST CORE FIT TABLET HD CHINA 3540M GRADE GHZ 6GHZ PORTABLE - PRO CHEAP 500GB 4 4 320 US 8.1: WINDOWS
"Lenovo ThinkPad X130e 2339 - 11.6"" - Core i3 2367M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X130e 2338 - 11.6"" - Core i3 2367M - Windows 7 Pro 64-bit - 4 GB RAM - 128 GB SSD - Vology"
AMAZON.COM CARBON VOLOGY 1.8GHZ LAPTOP 160 INTEL,Amazon.com 8460p Carbon Vology 1.8ghz Laptop 160 Intel
HP HP MacBook Intel RAM Core 67GHz Processor - | 1.80 Windows Ruby Generation Win GHz Android Dock X i3 Laptop Female Top - Computers Computers Series Magnesium,67ghz macbook x intel - core ghz computers | ram hp windows ruby generation win 1.80 android magnesium dock i3 series laptop processor - computers top female hp
"Amazon.com : Brand New Acer America Corp. Acer Aspire E1-572-34014G50mnkk 15.6"" Led Notebook - Intel Core I3 I3-4010U 1.70 Ghz - Black : Computers & Accessories","Amazon.com : ACER Aspire E1-572-34014G50Mnkk 15.6"" LED Notebook - Intel Core i3 i3-4010U 1.70 GHz - Black 4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4400 Graphics - Windows 7 Home Premium 64-bit - 1366 x 768 Display - Bluetooth / NX.M8EAA.007 / : Computers & Accessories"
"Amazon.com : Brand New Acer America Corp. Acer Aspire E1-572-34014G50mnrr 15.6"" Led Notebook - Intel Core I3 I3-4010U 1.70 Ghz - Red : Computers & Accessories","Amazon.com : ACER Aspire E1-572-34014G50Mnkk 15.6"" LED Notebook - Intel Core i3 i3-4010U 1.70 GHz - Black 4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4400 Graphics - Windows 7 Home Premium 64-bit - 1366 x 768 Display - Bluetooth / NX.M8EAA.007 / : Computers & Accessories"
"HP Optiplex Helix Laptop Hp Core Intel Buy 500GB, D630 160GB NBD 8 Computer Pro Bit","hp optiplex helix laptop hp core intel buy 500gb, d630 160gb nbd 8 computer pro bit"
"10 Chromebook Windows ThinkPad C55D-A5170 12.5"" 15K","10 Chromebook C55D-A5170 12.5"" 15K"
"HP HP V3-571-73638G1TMaii E430 12.5"" -033 17.3"" Core 4GB X 20AM001DZA 6"" 64-bit Accessories DVDRW - Pro Laptop 64-bit Portable","HP HP V3-571-73638G1TMAII E430 12.5"" -033 17.3"" CORE X 20AM001DZA 6"" 64-BIT ACCESSORIES DVDRW - PRO LAPTOP 64-BIT PORTABLE"
"samsung : hp 4"" inch notebook ultrabook led 4700hq intel n2807 buy 7 webcam buy - r","Samsung : N2807 Inch Notebook Ultrabook LED 4700HQ Intel mm Buy 4"" 7 Webcam Buy - R"
"asus envy 8740w 15"" ultrabook pc 3537u 128 atom elt-293706 7 notebook premium | - gb ghz 4 computers 8 dvd±rw) 8 webcam cheap - vology thenerds.net - - - -","Asus Envy 8740w 15"" Ultrabook PC 3537U 128 Atom ELT-293706 7 Notebook Premium | - Gb GHz 4 Computers 8 DVD±RW) 8 Webcam Cheap - Vology TheNerds.net - - - -"
"Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 180 GB SSD - Vology","Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology"
"HP LQ589AW EliteBook 8560P 15.6"" Notebook - Vology","HP (Hewlett-Packard) EliteBook 8560p 15.6"" Silver Notebook (2.3 GHz Intel Core I5 2410M, 4 GB DDR3, 500 GB HDD, DVD±RW DL, Radeon HD 6470M, Windows 7 Professional, LED Backlight) Price Comparison at Buy.net"
US 2000 M83 I7 RAM M520 PRO PC CORE : / 4.0 BRAND PRO | 2X320GB 1 MK5 (UEH4002-AT-E) HDD (0A89475) 8) -,Brand 2000 M83 i7 - M520 MK5 2X320GB Core : HDD (UEH4002-AT-E) US 1 | Pro / Pro Pc (0A89475) 4.0 8) RAM
"Dell 2000 Windows 14"" - 6'' 640GB Laptops 500GB Buy eBay - (Ice | Notebook HP 4GB /","Dell 2000 HP 14"" - 6'' 640GB (Ice 500GB 4GB Buy - Laptops / | Notebook eBay Windows"
"Lenovo ThinkPad X1 Carbon Touch 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 240 GB SSD - Vology","Lenovo ThinkPad X1 Carbon 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 240 GB SSD - Vology"
"Wholesale 2014 1545 LED - Intel Best Read-Optimized Free Intel® Laptop Office Lenovo in i7-4600U / Computers,Mini","WHOLESALE 2014 1545 LED - BEST READ-OPTIMIZED FREE INTEL® LAPTOP OFFICE LENOVO IN I7-4600U / COMPUTERS,MINI"
i5 Wireless 4GB 67GHz Amazon.com T300LA-XH71T-i7-4500U-8GB-256GB 7 Boot Pavilion PC LED GB Mid | HDD - GB,Amazon.com Pavilion T300LA-XH71T-i7-4500U-8GB-256GB PC i5 LED Boot 4GB Wireless 67GHz - GB 7 | HDD Mid 8 GB
"Lenovo ThinkPad X1 Carbon 3460 - 14"" - Core i5 3427U - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 256 GB SSD - Vology","Lenovo X1 Carbon 346058U 14"" LED Ultrabook - Intel Core I5 I5-3427U 1.80 GHz - Black (4 GB RAM - 128 GB SSD - Intel HD 4000 - Windows 8 Pro 64-bit - 1600 X 900 Display - Bluetooth) Price Comparison at Buy.net"
"BUY CF-191CYAV1M 780 CORE LAPTOP NOTEBOOK ATOM GB 1TB CPU GEN 7 WINDOWS GHZ INTEL 8.1 7 MATTE A9,MINI ALIBABA.COM DOWNGRADE DRIVE","Buy CF-191CYAV1M 780 Core Laptop Notebook Atom GB 1TB CPU Gen 7 Windows GHz Intel 8.1 7 Matte A9,Mini Alibaba.com downgrade Drive"
"Allwinner Inch 1366*768 Vology 1.2ghz 16GB RAM T5750 - - Intel Core Details 887942615918 R7,863.01 Accessories 4 GHz GB Price,Laptop Windows Dual Chip,Laptop","GB INCH 1366*768 VOLOGY PRICE,LAPTOP CORE WINDOWS - T5750 - INTEL 887942615918 DETAILS 1.2GHZ R7,863.01 RAM 4 GHZ ALLWINNER 16GB ACCESSORIES DUAL CHIP,LAPTOP"
"Lenovo ThinkPad X1 Carbon Touch 3460 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 128 GB SSD - Vology","Lenovo ThinkPad X1 Carbon Touch 3460 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 240 GB SSD - Vology"
"Miniprice.ca XMG DS01 3210M Os 11.6"" 4th C Cover Gaming 1.2 Windows 1768 - Buy 64-bit 4 Touch Mais Workstations 64-bit Pc,Amd SSD Product Comparison - 320 on 3g","miniprice.ca xmg ds01 3210m os 4th c cover gaming 1.2 windows 1768 - buy 64-bit 4 touch mais workstations 64-bit pc,amd ssd product comparison - 320 on 3g"
"Lenovo 80GB Duo Hard NVIDIA Price Intel (IPS) Latitude A8-6500B (1920X1080), 2017 Opteron Celeron","Lenovo Latitude Price Opteron Office 80GB Duo A8-6500B Celeron (IPS) Intel (1920X1080), 2017 NVIDIA Hard"
"DELL - SB91 TMP245-M-34014G50MTKK INTERNAL LENOVO 6"" 73 - : ULTRABOOK LENOVO 750GB 8 I7-3630QM LAPTOP MATTE LOW 2.10 DVD±RW HARD 8 64-BIT) MULTI-TOUCH ON INTEL OCT DVD-WRITER GB","Dell - SB91 TMP245-M-34014G50Mtkk Internal Lenovo 6"" 73 - : Ultrabook Lenovo 750GB 8 i7-3630QM Laptop Matte Low 2.10 DVD±RW Hard 8 64-bit) Multi-touch on Intel Oct DVD-Writer GB"
"Lenovo ThinkPad X230 Tablet 3438 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - with UltraBase Series 3 - Vology","Lenovo ThinkPad X230 Tablet 3438 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology"
"Lenovo ThinkPad X1 Carbon 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 256 GB SSD - Vology","Lenovo ThinkPad X1 Carbon Touch 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 240 GB SSD - Vology"
"hp laptop 2b29wm 14"" - ultrabook/tablet core","HP Laptop 2B29WM 14"" - Ultrabook/Tablet Core"
"Lenovo ThinkPad X1 Carbon 3460 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 8 GB RAM - 240 GB SSD - Vology","Lenovo ThinkPad X1 Carbon Touch 3460 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 240 GB SSD - Vology"
"Lenovo ThinkPad X1 Carbon 3460 - 14"" - Core i5 3427U - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 180 GB SSD - Vology","Lenovo ThinkPad X1 Carbon Touch 3460 - 14"" - Core i5 3427U - Windows 8 Pro 64-bit - 4 GB RAM - 180 GB SSD - Vology"
"Lenovo ThinkPad X1 Carbon 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 8 GB RAM - 240 GB SSD - Vology","Lenovo ThinkPad X1 Carbon 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 180 GB SSD - Vology"
"Lenovo ThinkPad X230 Tablet 3435 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - Vology","Lenovo ThinkPad X230 Tablet 3435 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD"
"HP - TOUCHSCREEN INTEL E7440 NOTEBOOK NOTEBOOK (633414-L21) PROFESSIONAL I3-4030U XP | DVD 64 EBAY + | - SALE,BULK -","HP - Touchscreen Intel E7440 Notebook Notebook Intel (633414-L21) Professional i3-4030U XP | DVD 64 eBay + | - Sale,Bulk -"
Acer D4Q96US#ABA Intel 17T 2438 Buy New New 1.8ghz 750GB -,NEW D4Q96US#ABA INTEL 17T 2438 NEW ACER BUY 1.8GHZ 750GB -
"Lenovo ThinkPad X230 Tablet 3435 - 12.5"" - Core i7 3520M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - with UltraBase Series 3 - Vology","Lenovo ThinkPad X230 2320 - 12.5"" - Core i7 3520M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 256 GB SSD - Vology"
"Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology"
"Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - with UltraBase Series 3 - Vology","Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 128 GB SSD - Vology"
"Lenovo ThinkPad X230 2320 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 500 GB HDD - Vology","Lenovo ThinkPad X230 2320 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 500 GB HDD - with UltraBase Series 3 - V"
"Lenovo ThinkPad X1 Carbon Touch 3448 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 240 GB SSD - Vology","Lenovo ThinkPad X1 Carbon Touch 3448 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 128 GB SSD - Vology"
2014 CF-192TYDX1M - P27K-CF2 G2 2 5GHz HD Australia GHz Intel 6GHz Mini,2014 CF-192TYDX1M - P27K-CF2 G2 5GHZ HD AUSTRALIA GHZ INTEL 6GHZ MINI
"LENOVO PP18L - 2 WALMART.COM 15.6"" 8 SSD 3320M ULTRABOOK 12GB - | HD ANDROID | SCREEN LAPTOPS 8 500 MINI SSD RAM - PARA HOH.DE POUCES,CHINA","Lenovo PP18L - 9-in-1 2 Walmart.com 15.6"" 8 SSD 3320M Ultrabook 12GB - | HD Android | Screen Laptops 8 500 Mini SSD RAM - Para hoh.de Pouces,China"
"s230u 0gb - - i5 gb - - in 10.2 1.86ghz ghz 5820k new 64-bit elitebook win7hp, 32 hd price","10.2 - EliteBook S230u In 32 1.86ghz - GHz 0Gb - i5 5820k New 64-bit - Win7HP, GB HD Price"
"Lenovo ThinkPad X1 Carbon 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 180 GB SSD - Vology","Lenovo ThinkPad X1 Carbon Touch 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 240 GB SSD - Vology"
"Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 180 GB SSD - with UltraBase Series 3 - Vology","Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology"
"Lenovo ThinkPad X1 Carbon 3448 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 8 GB RAM - 240 GB SSD - Vology","Lenovo ThinkPad X1 Carbon 3448 - 14"" - Core i7 3667U - Windows 7 Pro 64-bit - 8 GB RAM - 128 GB SSD - Vology"
"Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 180 GB SSD - Vology"
"LENOVO PRECISION THINKPAD 20B7 (OPTICAL - PC CHEAP : RAM DDR3L, NOTEBOOK TINYDEAL 7 8 COMPUTERS EBAY 7 / 64-BIT POUCES,CHINA","Lenovo Precision ThinkPad 20B7 (Optical - Pc Cheap : RAM DDR3L, Notebook TinyDeal 7 8 Computers eBay 7 / 64-bit Pouces,China"
"Lenovo ThinkPad X230 2320 - 12.5"" - Core i7 3520M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 500 GB HDD - Vology","Lenovo ThinkPad X230 Tablet 3435 - 12.5"" - Core i7 3520M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - with UltraBase Series 3 - Vology"
"Lenovo ThinkPad X1 Carbon 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 128 GB SSD - Vology","Lenovo ThinkPad X1 Carbon 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 8 GB RAM - 128 GB SSD - Vology"
