title_left,title_right
"Lenovo ThinkPad X230 Tablet 3438 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit - 4 GB RAM - 180 GB SSD - Vology"
"Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology"
"Lenovo ThinkPad X230 Tablet 3438 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 Tablet 3437 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology"
"Lenovo ThinkPad X230 Tablet 3435 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - with UltraBase Series 3 - Vology","Lenovo ThinkPad X230 Tablet 3437 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - Vology"
Amazon.com : Acer Aspire E3-111-C5GL 11.6-Inch Laptop (Cool Silver) : Computers & Accessories,"Amazon.com : 15.6"" HP 15-f009wm Amd Dual-Core E1-2100 4GB DDR3 RAM 500GB HD Webcam Windows 8.1 (Certified Refurbished) : Computers & Accessories"
"Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 Tablet 3437 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology"
"Lenovo ThinkPad X1 Carbon 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 8 GB RAM - 240 GB SSD - Vology","Lenovo ThinkPad X1 Carbon 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 8 GB RAM - 240 GB SSD - Vology"
"Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 2320 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - with UltraBase Series 3 - Vology"
"Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 500 GB HDD - Vology","Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 180 GB SSD - Vology"
"Lenovo ThinkPad X230 Tablet 3437 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 Tablet 3437 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - Vology"
"HP C7A50UT EliteBook 2170P 11.6"" Notebook - Vology","HP LX389AW EliteBook 2760P 12.1"" Tablet Notebook - Vology"
"Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit - 4 GB RAM - 180 GB SSD - Vology","Toshiba Inspiron XT2 Envy i3542-6666BK - - 11 Laptop 3320M 4GB Core Webcam Product | GB Computer LED Memory, Windows 128"
"Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 180 GB SSD - Vology","Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - with UltraBase Series 3 - Vology"
"Lenovo ThinkPad X230 Tablet 3437 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - with UltraBase Series 3 - Vology","Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD - Vology"
"Amazon.com : Acer Aspire E5-771-37GD 17.3"" Notebook Computer, Intel Core i3-4030U 1.8GHz Processor, 4GB RAM, 500GB HDD, Windows 8.1, Iron Silver : Computers & Accessories",Amazon.com : Dell Inspiron i5547-15001sLV 15.6-Inch Touchscreen Laptop : Computers & Accessories
"Lenovo ThinkPad X230 Tablet 3438 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD - with UltraBase Series 3 - Vology","Lenovo ThinkPad X230 Tablet 3438 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 128 GB SSD - Vology"
"Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit - 4 GB RAM - 320 GB HDD - Vology","Lenovo ThinkPad X230 2320 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 500 GB HDD - Vology"
"Amazon.com : HP 15-d053cl TouchSmart - 15.6"" HD Touchscreen Notebook PC - Intel Core i3-3120M / 6GB DDR3L SDRAM / 750GB HDD / Windows 8.1 / Intel HD graphics 4000 / WiFi / SuperMulti DVD Burner / Webcam - Black (Certified Refurbished) : Computers & Accessories",Amazon.com - - 13 3437 Australia Laptop 120GB 4300U 320GB Buy RAM Built-in Buy : 4 eBay eBay Pc
"Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - Vology","Lenovo ThinkPad X230 Tablet 3438 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 128 GB SSD - Vology"
"Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit - 4 GB RAM - 180 GB SSD - Vology","Lenovo ThinkPad X230 Tablet 3435 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - Vology"
"Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 180 GB SSD - Vology","Toshiba Inspiron XT2 Envy i3542-6666BK - - 11 Laptop 3320M 4GB Core Webcam Product | GB Computer LED Memory, Windows 128"
