lid,rid
579374,1144370
392281,480511
617298,1059128
503953,1023494
294893,722231
418789,813048
1023494,1059128
170051,992401
301409,1144599
393759,783786
76617,611004
257037,615011
78790,331031
604476,944475
262399,303592
301409,967246
262069,910630
1042017,1144599
696428,944475
545219,1165334
252203,354546
40654,270197
585300,750304
559035,792321
17565,393759
593629,954288
203377,504103
144855,604087
345732,591235
539005,1034750
201659,604087
310482,1002305
183779,626577
683141,823803
15001,1215923
244133,936634
567790,890759
506713,977442
246181,281751
492859,912047
538418,765044
428253,467117
389254,496008
997206,1079385
727834,1083348
269179,413584
204975,1002305
827147,1053882
295250,725704
104977,300147
791724,906707
268660,316167
117055,593629
568114,1083209
45623,657437
975781,1059128
653168,728794
615011,1033663
45623,1021375
764755,984141
295250,475997
459475,896453
67839,345732
255274,715352
57235,1162547
20371,206865
777397,1002305
10434,927370
543560,651055
480511,651055
246181,777397
255274,340426
246181,1144370
199300,1132226
17565,1014258
707777,984141
692449,947686
282420,484332
732934,1042017
141485,1155623
1083348,1188973
565684,1059233
591235,639978
1062170,1083209
144855,410199
225419,393759
34396,943022
300147,506713
981309,1054717
315124,1132226
236010,992401
279050,383406
539005,568114
778474,1023159
46334,160698
165007,1101685
592450,1101042
605123,1059128
591235,1195748
392281,639640
141485,653168
216431,1070036
300147,315124
475997,567790
749709,1141787
34396,545219
504103,728794
418025,1083209
617298,639640
150734,732934
47226,656831
545219,1199506
805694,838524
665008,1176803
145821,351669
300147,1144599
618417,1002305
17565,317033
555407,953844
936133,997206
972646,1083329
954611,1082248
34396,55568
817272,886073
197042,1013658
725704,1013658
332119,809333
244133,503953
78596,639978
204975,328181
915589,954611
199300,683141
305127,354546
151611,165007
300930,1139993
596073,1155623
608062,703939
40654,560821
78596,1195748
536385,1132226
504103,936634
64172,574237
276727,1131636
1021375,1141787
392281,1041786
203377,878708
396084,1146173
568114,1132226
300302,665008
197508,1063755
81979,508994
291464,464547
617298,1041786
340079,835961
613184,999224
967246,1002305
269179,666060
392281,1062170
150734,204975
81979,1032600
279050,1179685
141485,543560
462342,1083348
317339,383406
769399,787055
1030741,1097190
130458,639978
