left_instance_id,right_instance_id
786668,1015253
794998,998816
262620,69200
680488,410206
680488,968212
680488,805694
680488,838524
680488,380309
680488,921922
680488,889198
680488,750304
410206,380309
410206,921922
410206,889198
91009,946571
959371,701176
173012,158784
156659,968212
156659,921922
156659,889198
82933,968212
82933,460477
82933,805694
82933,838524
82933,380309
82933,651208
82933,1110238
82933,921922
82933,889198
82933,1053797
337254,997429
1440,460477
1440,1053797
1440,898548
968212,921922
968212,889198
149058,347435
460477,805694
460477,838524
460477,921922
460477,889198
460477,1053797
206565,142264
690701,703698
805694,838524
805694,921922
805694,889198
805694,1053797
838524,921922
838524,889198
838524,1053797
887913,290462
781468,1002973
1133820,383389
585300,696136
233180,200629
651208,1110238
651208,1053797
381012,46256
1110238,1053797
921922,889198
921922,1053797
889198,1053797
185139,1152044
365405,709857
627962,71655
399593,489783
367363,433917
1073224,696428
1073224,502519
1073224,1158716
696428,262399
696428,1008271
696428,623853
696428,370461
696428,559035
696428,1174020
696428,592450
696428,502519
696428,1149773
696428,85082
696428,60686
696428,1191242
696428,258901
696428,1110913
696428,701429
696428,431984
262399,502519
426426,1191242
426426,240984
1008271,502519
1008271,1149773
1008271,1191242
1008271,701429
148134,371944
1114862,1164020
647975,1036598
1098727,138251
1180742,1165852
558177,789296
623853,1164767
623853,206560
623853,370461
623853,157974
623853,1174020
623853,182801
623853,502519
623853,789296
623853,85082
623853,601560
623853,1110913
623853,701429
910630,128045
1213845,947134
722341,193089
1164767,1174020
1164767,182801
1164767,502519
1164767,1149773
1164767,85082
1164767,1191242
1164767,701429
206560,1174020
206560,85082
206560,980361
1197820,752870
370461,1110913
559035,502519
559035,954288
559035,692334
559035,258901
935977,1077367
354546,1191811
157974,502519
157974,601560
157974,701429
1174020,182801
1174020,502519
1174020,789296
1174020,1149773
1174020,85082
1174020,1191242
1174020,601560
1174020,1110913
1174020,701429
182801,502519
182801,1149773
182801,85082
182801,1191242
182801,701429
592450,502519
592450,431984
641641,827382
912047,1141787
502519,1149773
502519,85082
502519,60686
502519,1191242
502519,258901
502519,1110913
502519,701429
502519,431984
1149773,692334
1035107,799929
85082,1191242
85082,601560
85082,1110913
85082,701429
1191242,184663
601560,701429
1192492,720053
54240,145821
767524,162979
997206,1030741
1079550,219797
31195,778023
1022957,106450
1179685,884883
1179685,434374
1179685,1163520
1179685,246181
1179685,393759
1179685,459475
1179685,975781
1179685,525270
1179685,639978
1179685,918553
1179685,165007
1179685,17565
1179685,246994
1179685,1041786
1179685,591235
1179685,1042017
1179685,345732
1179685,698133
1179685,608062
1179685,485193
1179685,206865
1179685,878708
1179685,141485
1179685,67839
1179685,665957
1179685,674226
1179685,977442
1179685,871202
1179685,519222
1179685,281751
1179685,249012
1179685,707777
1179685,412911
1179685,839281
