instance_id,brand,cpu_brand,cpu_core,cpu_model,cpu_frequency,pc_name,family,title,flag,clean_info,sorted_title
270345,0,intel,i5,0,0,0,0, best aspire cube intel 6885 intel frame quad i5 1tb and - switching 500gb 2.90,2, 1tb 290 500gb 6885 aspire cube frame i5 intel intel quad switching,  1tb 290 500gb 6885 and aspire best cube frame i5 intel intel quad switching
163850,0,intel,0,0,0,0,0," panasonic latitude 14 b5232 - solid duo (bx80621e52640) 160gb : intel dvdrw | laptop,14 laptop,kids / anodized netbook - 7 8)",2, bx80621e52640  14 160gb 7 8  anodized b5232 duo intel laptop14 laptopkids latitude netbook panasonic solid , bx80621e52640    14 160gb 7 8  anodized b5232 duo dvdrw intel laptop14 laptopkids latitude netbook panasonic solid 
180242,0,amd,0,0,0,0,0, panasonic 667374-b21 toshiba 2325 pc amd led 2 i5 500gb - 4 500gb - 7 64-bit wireless cream ebay direct product,2, 2 2325 4 500gb 500gb 64bit 667374b21 7 amd cream direct ebay i5 panasonic toshiba wireless,   2 2325 4 500gb 500gb 64bit 667374b21 7 amd cream direct ebay i5 led panasonic pc product toshiba wireless
712728,0,0,0,0,0,0,0, 64-bit t540p / n7110 wifi | us 8gb hd laptop notebook 4600u miniprice.ca w 5 win d2500 | ram 4 inspiron,2,  4 4600u 5 64bit 8gb d2500 hd inspiron minipriceca n7110 ram t540p us w  ,  4 4600u 5 64bit 8gb d2500 hd inspiron laptop minipriceca n7110 notebook ram t540p us w wifi win  
729116,dell,intel,i5,0,0,0,dell, dell google 1737 7000 chromebook i5 (67y2625) core android 128gb | computers 1tb ram ebay 4 8 lenovo ebay,2, 67y2625 128gb 1737 1tb 4 7000 8 android chromebook dell ebay ebay google i5 lenovo ram , 67y2625 128gb 1737 1tb 4 7000 8 android chromebook computers core dell ebay ebay google i5 lenovo ram 
1212452,lenovo,intel,i3,0,0,3721,lenovo," lenovo precision core 3721 intel xga mini 3 - camera ram 6gb core ssd tray hdd, i3 computer,13.3 ebay high",2, 3 3721 6gb camera computer133 ebay hdd high i3 intel lenovo mini precision ram tray xga,  3 3721 6gb camera computer133 core core ebay hdd high i3 intel lenovo mini precision ram ssd tray xga
1179685,lenovo,intel,i5,3320m,0,2324,lenovo," lenovo thinkpad x230 2324 - 12.5"" - core i5 3320m - windows 8 pro 64-bit / windows 7 pro 64-bit downgrade - 4 gb ram - 500 gb hdd - vology",2,  125 2324 3320m 4 500 64bit 64bit 7 8 gb gb i5 lenovo pro pro ram thinkpad windows windows x230,        125 2324 3320m 4 500 64bit 64bit 7 8 core downgrade gb gb hdd i5 lenovo pro pro ram thinkpad vology windows windows x230
458792,0,intel,i5,0,0,0,0," panasonic toughbook x2 13 e5430, 2 - foundation 8gb intel i5 kb 8 laptop | | phone ebay",2, 13 2 8 8gb e5430 ebay foundation i5 intel kb panasonic phone toughbook x2  ,  13 2 8 8gb e5430 ebay foundation i5 intel kb laptop panasonic phone toughbook x2  
1187888,acer,0,0,0,0,0,acer, amazon.com : acer aspire v7-482pg-5842 14-inch touchscreen ultrabook (cool steel) : computers & accessories,2,  cool 14inch   acer amazoncom aspire steel touchscreen ultrabook v7482pg5842,  cool 14inch   accessories acer amazoncom aspire computers steel touchscreen ultrabook v7482pg5842
524337,0,intel,i3,4900m,0,0,0, amazon.com thinkpad x230 laptop 4900mq 2.2 i3 core 4gb 320gb black | 128gb - 64-bit 6gb,2, 128gb 22 320gb 4900mq 4gb 64bit 6gb amazoncom black i3 thinkpad x230 ,  128gb 22 320gb 4900mq 4gb 64bit 6gb amazoncom black core i3 laptop thinkpad x230 
