left_instance_id,right_instance_id
975781,1041786
252203,316167
317339,539005
281751,1199587
539005,1002305
651055,977442
506713,1002305
783786,871202
183779,427882
197508,944475
484332,545219
160698,840632
291431,572601
35835,197963
707293,801209
565684,621640
453128,1195748
271364,475997
725704,981129
618417,674226
197042,1141787
316167,1163085
889198,972906
203377,651055
919725,943080
568114,728794
674226,1132226
281751,611004
120541,268660
967246,1002305
618417,1041786
728794,936634
127214,591288
1113411,1134987
295250,657437
598072,753549
617298,1179685
783266,1028923
246181,1042017
626577,975781
418025,1144370
434374,1059128
615011,1002973
130458,595720
175231,1013285
175317,216431
268660,1158280
128045,987234
722227,808999
657242,1159290
145821,743096
276727,1082248
300147,1199587
621640,1059233
63351,467117
726294,1042017
230946,1081472
413584,666060
503953,1023494
204975,480511
376435,826955
343554,1159290
591288,698653
1042017,1155623
506338,657437
224952,1013658
918553,1083209
251316,962676
317033,884883
57235,690871
649701,1070036
55568,484332
317339,1042017
392281,618417
225419,1170343
5560,983468
282420,677261
130458,519222
300147,611004
134961,255274
428253,1132226
43547,1146586
183779,467117
617298,977442
722231,1101042
301409,1179685
251316,665008
509110,524337
126196,890759
269359,975781
777397,1042017
828791,1037962
76617,183779
434374,617298
933048,1028923
220952,279050
159489,1083329
639978,1200313
467117,683141
262399,303592
538418,666060
12950,936133
76617,203377
665957,1163520
696428,925252
783266,1063126
559035,954288
992401,999224
787055,923715
74573,793893
12315,134271
12242,295250
813048,1139993
1014258,1195748
201659,906707
366473,1054506
170051,257037
170051,1033663
328181,383406
977442,1034750
1195748,1200313
906707,1035512
467117,653168
492859,567790
117055,559035
504103,674226
1023494,1034750
695299,764755
276727,915589
217610,986333
310482,328181
5585,787055
389279,807660
141485,568114
76617,777397
17565,1014258
912047,1159290
555161,696428
823803,1002305
591235,995423
151611,1054506
354546,1199506
793893,912047
252998,912047
106380,1132226
268660,282420
981309,1158271
55568,517367
246181,485193
462342,1158280
284379,1164767
392281,728794
122978,1016133
1034750,1042017
555161,792321
301409,977442
692449,778023
915589,1079385
126196,932075
418025,506713
435482,781468
246181,777397
282420,1165334
467117,918553
424865,479637
165007,984141
128045,434022
503953,936634
126196,567790
485193,1132226
383406,1199587
592450,916147
271364,657437
246181,626577
932075,1158271
677261,1163085
486656,964127
41532,872089
190234,377089
393759,995423
1002305,1042017
568114,823803
64135,1024080
63975,1063755
543560,674226
933048,1063126
726294,777397
17565,783786
282420,340426
732934,1062170
78596,639978
150734,683141
720053,757934
317339,485193
74573,197042
271364,343554
351669,1131636
86260,411834
40654,255274
383406,611004
539005,732934
225419,393759
410199,459475
224952,890759
236010,257037
1083329,1120420
150734,653168
316167,727834
539005,568114
506713,568114
594193,809333
269359,1002305
729067,741654
41182,1010448
294893,564505
700578,1028886
981309,1215923
396337,405584
56896,1059128
178591,252998
351669,396084
128045,936792
230946,323452
199300,1059128
175317,767767
568114,639640
975781,1199587
878708,918553
47226,656831
538418,867324
567790,1215923
728794,1179685
1081472,1165334
257037,807660
568114,1144599
317339,618417
568114,1144370
1097340,1176803
464547,986333
150734,918553
104977,317339
943450,1163085
104977,315124
743096,997206
513302,937824
957029,982719
117055,1115364
5560,840058
160698,975105
653168,683141
12242,567790
51871,421582
269179,817272
224952,932075
711741,1188973
953269,1123928
1144370,1199587
936634,1179685
224952,567790
943022,943450
246181,728794
